Code,Name,FirstLine,Remarks,Key
5-J0108,主是安息港,心渴慕恩主現臨到我,,F
5-J0109,主是愛,主是愛主是愛主愛永遠不更改,,Cm
5-J0110,主為我開路,主為我開路,,G
5-J0111,主耶和華的喜樂是我的力量,主耶和華的喜樂是我的力量,,D
5-J0112,主耶穌真愛我,青草地上滿牛羊,,D
5-J0113,主耶穌愛我,耶穌愛我真可信,,Eb
5-J0114,主恩夠用,昂的恩典每天夠我用,,D
5-J0115,主恩頌,神救恩廣賜天下,,Am
5-J0116,主啊你的溫柔,主啊你的溫柔,,C
5-J0117,主啊你創造我,主啊你創造我,,
5-J0118,主啊我心愛你,我眼流淚 我心破碎,,Bb
5-J0119,主啊我讚美你,主啊我讚美你 因為你揀選了我,,D
5-J0120,主啊賜下靈火,主啊賜下靈火,,A
5-J0121,主給我子女名份,耶和華是創造天與海,,F
5-J0122,主愛不變,主的愛從來沒有改變,,C
5-J0123,主愛必堅固,神愛滔滔活水匆匆湧流,,Eb
5-J0124,主愛同在,來同頌 頌主愛,,C
5-J0125,主當我向昂跪下的時候,主當我向昂跪下的時候,,Bbm
5-J0126,主昂是我力量,我的詩歌 我的拯救,,G
5-J0127,主的呼喚,我可以差遣誰,,C
5-J0128,主的恩典,夜深天色已漸迷濛,,C
5-J0129,主我跟昂走,主我跟昂走,,D
5-J0130,主你是榮耀的主,你是榮耀的君王,,
5-J0131,主神啊諸天被創造,主神啊!諸天被創造,,C
5-J0132,主啊昂配得受讚美,主啊昂配得受讚美,,D
5-J0133,主信實無變,慈愛主信實無變,,Eb
5-J0134,主啊教我們禱告,我們在天上的阿爸父,,G
5-J0135,主的喜樂是我力量,主的喜樂是我力量,,
5-J0136,主我心尋找昂,主我心尋找昂,,C
5-J0137,主的喜樂是我的力量,耶和華的喜樂是我們的力量,,C
5-J0138,主你永遠與我同在,危難臨到我信靠你深知你必領我渡過,,G
5-J0139,主禱文(請教導我們禱告),父你的名是多麼美榮耀遍全地,,D
5-J0140,主恩實在更多,我真希奇救主耶穌,,Bb
5-J0141,主禱文,我們在天上的父願人都尊你的名為聖,,C
5-J0201,只因愛,昂的愛我怎猜透 捨尊降貴,,G
5-J0202,只有昂永恆的主,誰知心痛苦 誰解心裡憂,,C
5-J0203,只向祂讚美,我的心一生只向祂讚美,,Bb
5-L0101,立志擺上,曾擺上傾出大愛,,Eb
5-M0101,末日迫近了,飢荒越來越厲害了,,C
5-S0101,生命在於昂,我生命在於昂,,G
5-S0102,生命有價,盡快將憂愁眼睛憂愁面孔憂愁內心拋棄吧,,C
5-S0103,生命活祭,我心充滿讚美 衷心感謝我主耶穌,,D
5-S0201,世界變,天空的飛鳥不耕作也不收,,D
5-W0101,永不能止息,主你使我得蒙恩,,G
5-W0102,永不渴,人若渴了可到我這裡,,C
5-W0103,永遠尊貴,耶穌真神羔羊,,D
5-W0201,禾場,禾場上千百萬人流浪,,C
5-Y0101,以色列的聖者,以色列的聖者 為我犧牲自己,,G
5-Y0102,以馬內利,EMMANUEL 神與你同在,,F
6-B0101,冰天的太陽,人間可有熱愛如艷陽,,D
6-C0101,充滿我 親愛聖靈,充滿我 親愛聖靈,,C
6-D0101,多愛,多愛 多能力,,Em
6-D0102,多謝耶穌,,,F
6-H0101,向主呼喊,耶穌 我救主 你至聖有誰能比,,A
6-H0102,向至高者讚美,同心皆向至高者讚美,神啊我們的偉大磐石,G
6-H0103,向君王歡呼,向君王歡呼 來歌唱讚美祂,,
6-H0104,向前進把福音傳揚,向前進把福音傳揚,,C
6-J0101,至尊的愛,耶穌愛你 耶穌愛你 地老天荒也不倦,,G
6-J0201,如鹿切慕溪水,神啊我心切慕昂如鹿切慕溪水,,C
6-J0202,如果你想知道,"如果你想知道愛在哪裡, 愛就在你我的周圍",,G
6-J0203,如此認識我,誰像你如此認識我,,F
6-O0101,安穩在主裡,恩主，賜我安息,,D
6-O0102,安靜,藏我在翅膀蔭下,,C
6-O0103,安靜,安靜讓平安入我心,讚美之泉VERSION,D
6-Q0101,全地宣告,全地宣告 榮耀復活救世主,,G
6-Q0102,全能父上帝,全能父上帝晝夜掌管天地萬邦,,D
6-Q0103,全然向你,當讚美的旋律響起,,D
6-Q0104,全新的昂,你說陰天代表你的心情,,C
6-Q0105,全地至高是我主,願靈內甦醒,,D
6-Q0106,全因為昂,常言道：人生像演戲,,G
6-Q0107,全能上帝是我的主我的神,全能上帝是我的主我的神,,A
6-S0101,先求祂的國和祂的義,你們要先求祂的國,,C
6-T0101,同在的神 以馬內利,道就在萬有首先,,A
6-T0102,同路人,只因為我們都是同路人,,E
6-T0103,同頌慶主恩典,同頌慶主恩典,,G
6-T0104,同讚美耶穌得榮耀,是昂寧下降凡塵,,G
6-W0101,回到這個家,假使結局已不可改究竟怎可看開,,A
6-W0102,回歸昂身邊,你誠然擔當憂患,,G
6-W0103,回家,"親愛耶穌,我感謝昂來到這世界",,D
6-W0104,回家,步伐是否感覺疲倦了,,C
6-Y0101,因主的名,造物主 今高唱昂名字,,A
6-Y0102,因主看顧,大海翻滾山嶺動搖,,C
6-Y0103,因那在我裡面的,因那在我裡面的比那在世界的更大,,D
6-Y0104,因祂活著,神差愛子 人稱祂耶穌,,Eb
6-Y0105,因著信,憑信他離別吾珥,,D
6-Y0201,有了我的命令又遵守的,有了我的命令又遵守的,,E
6-Y0202,有你 … 和平之君,有你陪我走,,F
6-Y0203,有誰能像你,有誰能像你 耶穌只有你能感動我心,,G
6-Y0204,有昂我就有亮光,有昂我就有亮光 有昂我就有方向,,A
6-Y0205,有一位神,有一位神,,D
6-Z0101,在天上的爸爸,在天上的爸爸 願人人都尊你名為聖,,G
6-Z0102,在主前歡樂,在主前歡樂 唱哈利路亞,,C
6-Z0103,在主愛中,清晨朝陽天空照耀,,Bb
6-Z0104,在乎您,您的慈愛比天高 比海深,,A
6-Z0105,在末後的日子,在末後的日子 我要將我的靈,,G
6-Z0106,在昂寶座前,在昂寶座前 我獻上我的敬拜,,A
6-Z0107,在昂手中,耶和華我的神 昂是我的神,,F
6-Z0108,在耶穌的腳前,在耶穌的腳前,,D
6-Z0109,在教會中的榮耀,願祂在教會中得榮耀,,Bb
6-Z0110,在這裡,神的子民合一聚集,,F
6-Z0201,早晨的聲音,耶和華求你留心聽我的言語,,F
7-A0101,阿爸阿爸父,阿爸阿爸父,,E
7-B0101,兵歌,就是我主耶穌令我生活有力,,G
7-B0201,把冷漠變成愛,你的眼是否被太多美麗的事物迷惑,,D
7-F0101,快樂常歌唱,莫記憂與愁要快樂常歌唱,,C
7-F0102,快上路,快上路，天國呼聲漸近,,A
7-G0101,君尊祭司來讚美,來讚美祂 君尊祭司,,F
7-G0102,君王就在這裡,聖潔耶穌昂寶座來這裡,,Bb
7-G0201,告別苦惱,開心給我開心,BY TTK,E
7-G0301,改寫我一生,容我配看昂榮光,BY TTK,
7-G0401,更新我心意,更新我心意 使我能像昂,,C
7-G0402,更像昂,我渴望更像昂,,F
7-H0101,何等恩典,以真誠的心降服在昂面前,,G
7-K0101,求引領我心,求引領我心,,D
7-K0102,求主給我一顆心,求主給我一顆心,,Dm
7-K0103,求主興起禱告的心,在這片乾旱土地,,G
7-K0104,求賜復興之火,求主賜復興之火,,Em
7-K0105,求昂將我輕放於心上,求昂將我輕放於心上,,Em
7-K0106,求主充滿我,主我來尋求昂的面,,D
7-M0101,每個新的早晨,新  每個新的早晨,,G
7-M0102,每天每刻獻上為你,"神昂聖潔, 當得尊貴",,Em
7-M0103,每一天我需要你,讓我坦然無懼來到施恩座前,,C
7-M0201,沒有昂那有我,從來未試過將一生交托為昂真正活過,,A
7-N0101,你不要害怕,你不要害 因為我與你同在,,D
7-N0102,你叫我活得比世人更美好,主我所有好處沒有不在你以外,,G
7-N0103,你有多少心裡話,你有多少心裡話對主傾訴,,C
7-N0104,你是我神,你是我神 我醫治的神,,F
7-N0105,你是良善,我一切的好處在主裡面,,A
7-N0106,你們要嘗嘗主恩的滋味,你們要嘗嘗主恩的滋味,,C
7-N0107,你們要讚美耶和華,你們要讚美耶和華 在祂的聖所讚美祂,,F
7-N0108,你是我藏身處,你是我藏身處,,Am
7-N0109,你愛主麼,你說你已經相信耶穌,,F
7-N0110,你以愛今觸摸我心,,,D
7-N0111,你許可,,,G
7-N0112,你是我的神,你是我的神我要切切尋求你,,D
7-N0113,你的恩典夠我用,"你的恩典夠我用,在我軟弱困苦中",,C
7-N0114,你莫再慨嘆,你莫再慨嘆 你別要悲哀,,C
7-N0115,你是我的一切,你是我依靠的力量,,G
7-N0116,你愛永不變,你流出寶血洗淨我污穢,,G
7-N0201,我要順服,耶穌基督是至寶,,D
7-N0202,我需要有你生命中,哦主 求你保守我的心我的意念,,C
7-N0203,我知誰管著明天,"我不知明天的道路,每一天只為主活",,Bb
7-N0204,我要歌頌昂聖名,我要歌頌昂聖名,,A
7-N0205,我要敬拜主耶穌直到永遠,我要敬拜主耶穌直到永遠,,D
7-N0206,我心緊緊跟隨你,每當我軟弱疲乏,,A
7-N0207,我主耶穌是生命源,我主耶穌是生命源 我主耶穌是活水泉,,D
7-N0208,我一生最大的事是認識耶和華,我一生最大的事 是認識耶和華,,F
7-N0209,我心,我站在至高處,BY TTK,F
7-N0210,我心切切渴慕昂,我心切切渴慕昂 乾旱疲乏無水之地,,D
7-N0211,我心尊主為大,我心尊主為大,,Ab
7-N0212,我以禱告來到昂跟前,我以禱告來到昂跟前 我要尋求昂,,A
7-N0213,我用主的愛真誠愛昂,我用主的愛真誠來愛你,,F
7-N0214,我有這喜樂,我有這喜樂非世界賜給我,,G
7-N0215,我的心你要稱頌耶和華,我的心你要稱頌耶和華 不可忘記祂的恩惠,,C
7-N0216,我的最愛,我愛因昂已先愛我,,A
7-N0217,我的燈需要油,我的燈需要油求主常賜下,,F
7-N0218,我宣告,新的一天充滿盼望,,
7-N0219,我要以讚美為祭,我要以讚美為祭進神的家獻給神,,C
7-N0220,我要向高山舉目,我要向高山舉目 我的幫助從何而來,,G
7-N0221,我要建立一群大能子民,我要建立一群大能子民,,D
7-N0222,我要唱耶和華的大慈愛,我要唱耶和華的大慈愛,,D
7-N0223,我們在天上的父神,我們在天上的父神,,C
7-N0224,我們在靈裏合一,我們在靈裏合一在主裡合為一,,G
7-N0225,我們成為一家人,我們成為一家人,,Bb
7-N0226,我們是大能的子民,我們是大能的子民,,C
7-N0227,我們進入神的殿,我們進入神的殿 奉主命聚集來敬拜祂,,Eb
7-N0228,我們愛,你和我是天父愛的創造,,D
7-N0229,我留下平安,我留下平安給你們,,C
7-N0230,我發現,您是王我是民我屈膝,,G
7-N0231,我愛慕你,我的心惟獨被你愛吸引,,D
7-N0232,我獻上生命,我獻上生命,,G
7-N0233,我要向高山舉目 (讚美之泉版),我要向高山舉目 我的幫助從何而來,中段: 哈利路亞,D
7-N0234,我願意,神呀 是昂喜歡跟我相親,,E
7-N0235,我力量在我神,我的力量,,G
7-N0236,我能夠看見你的聖潔,我能夠看見你的聖潔,,C
7-N0237,我在這裡讚美,我在這裡讚美,,F
7-N0238,我要全心讚美,全心感謝全心讚美進入你的院,,F
7-N0239,我渴望看見,我們等候主不住尋求昂面,,F
7-N0240,我要看見,求昂降下同在,,C
7-N0241,我願為你去,用聖靈與火為我施洗,,D
7-N0242,我們歡迎君王降臨,宇宙的中心耶穌,,F
7-N0243,我們呼求,主我們同心在昂面前,,A
7-N0244,我已得自由,在創世以前天父祂已經愛我,,C
7-N0245,我今依賴,凡我疑惑全交耶穌,,
7-N0246,我全心信靠我主,我全心信靠我主,,F
7-N0247,我向你禱告,昂是我神是我的依傍,,E
7-N0301,那裡有主的聖靈那裡就有自由,那裡有主的聖靈那裡就有自由,,G
7-Z0101,助我進深,進深 進深,,
7-Z0201,足印,憶當天的那段舊夢,,C
7-Z0301,住在昂裡面,在乾旱無水之地我渴慕你,,D
8-F0101,奉主耶穌聖名,奉主耶穌聖名,,F
8-F0102,奉主基督的名禱告,求主將我心化做青草地,,F
8-F0201,非勢力,非勢力 非才能,,
8-F0301,呼求耶穌,求主加倍充滿我心求主加倍釋放生命,,E
8-G0101,肩並肩踏上天國路,肩並肩踏上天國路 怠恩歌聲飄滿路,,A
8-K0101,奇妙雙手,一雙手為我 將祝福賜下,,D
8-L0101,來頌讚,來頌讚神您愛不改,,G
8-L0102,來高聲唱,來高聲唱 來高聲唱,,A
8-L0103,來合一啦,頌樂妙曲響遍遍,,E
8-L0104,來頌讚主生辰,來頌讚主生辰,聖誕用,Em
8-M0101,明白,這一生走過無數的路,BY TTK,
8-S0101,受綁,問我怎向主回應,,Bb
8-S0201,所有的榮耀歸於你,榮耀歸於你權柄歸於你,,F
8-T0101,祂除去我心中的鎖鍊,祂除去我心中的鎖鍊釋放我,,
8-T0102,祂的恩典是一生之久,,,C
8-T0103,祂名是耶穌,祂名是耶穌,,
8-W0101,往前跑,向前走呀勇往不退後,,C
8-W0201,和撒那,和撒那,,G
8-Z0101,直到主耶穌再來時候,直到主耶穌再來時候,,C
9-H0101,看見復興,我們是你的百姓,,A
9-K0101,祈禱使我常得勝,祈禱使我常得勝,,
9-K0201,活著為要敬拜昂,開我的眼睛，讓我看見你,,D
9-K0202,活出愛,有一份愛從天而來比山高比海深,,C
9-K0203,活著是為我主,活著是為我主 有昂是我一生的褔氣,,A
9-M0101,美好新生命,神造萬有為彰顯美好生命,,F
9-S0101,相信有愛就有奇跡,黑夜將過去，未來不再遲疑,,F
9-S0102,相聚在愛裡,愛使我們相聚一起,,Ab
9-S0201,信心的等待,明天怎麼你還是不知道,,C
9-W0101,活著就是基督,活著就是基督 活著就是基督,,C
9-W0201,為主歌唱,為主歌唱 頌讚聲響四方,,C
9-W0202,為祂試愛,我試過去深愛他 也試過去憎惡他,,A
9-W0203,為愛而生,有一個夢想在我心頭,,E
9-X0101,宣教的中國,有一種愛像那夏蟲永長鳴,,
9-X0201,思想他的愛,思想他的愛 思想他的良善,,D
9-X0301,是昂聲音,我呼喚在期待,,
9-X0302,是昂應許,壓傷的蘆葦它不折斷,,Dm
9-Y0101,耶和華以勒,綠野碧海生機處處,,C
9-Y0102,耶和華是愛,耶和華是愛 讓我安身青草溪水邊,,Eb
9-Y0103,耶和華喜樂靈,耶和華喜樂靈現在來充滿我,,Em
9-Y0104,耶穌，昂的愛已溶化我心,耶穌 耶穌 耶穌 昂愛已溶化我心,,Ab
9-Y0105,耶穌我愛你,耶穌我愛你 我站在你面前,,C
9-Y0106,耶穌基督拯救我生命,耶穌基督拯救我生命,,Dm
9-Y0107,耶穌基督是主,耶穌基督是主,,Em
9-Y0108,耶穌愛你,這世界 有個千年不變道理,,D
9-Y0109,耶穌愛我,耶穌愛我 耶穌愛我 耶穌真真愛我,,
9-Y0110,耶穌謝謝昂的愛,當我每感失落沒能力解決是昂令我得安慰,,Eb
9-Y0111,耶穌願你為王,耶穌願你為王 我們宣揚你是王,,G
9-Y0112,耶穌配得至聖尊榮,耶穌配得至聖尊榮,,Bb
9-Y0113,耶穌的寶血,,,C
9-Y0114,耶和華恩年已來到,主的靈在我身上,,C
9-Y0115,耶穌基督孤身走窄路,,,Dm
9-Y0116,耶和華昂是我的神,耶和華昂是我的神,,D
9-Y0117,耶穌是我生命的主,主啊我心切慕主聖靈,,Bb
9-Y0118,耶穌你是寶貴,耶穌你是寶貴,,F
9-Y0119,耶穌領我,耶穌領我奔走天路,,
9-Y0120,耶穌他愛你所以有聖誕節,耶穌他愛你所以他願意從天上為你降生,,C
9-Y0201,若你能看見,如若你能看見藍天,,D
9-Y0301,勇敢走出去,我並不完美,,E
9-Z0101,珍惜,謝謝你天父創造遍世間,,Bb
9-Z0201,祝福你,祝福你在主基督裡,,C
10-C0101,差遣我,主告訴我 如何獻上我的生命,,G
10-C0201,除你以外,大地頌讚歡唱讚美你名字,,D
10-C0202,除昂以外,除你以外 在天上我還能有誰,,D
10-G0101,剛強壯膽,剛強壯膽不要畏懼神現與我們同在,,Dm
10-G0201,高聲宣揚,我看見真正路向,,G
10-J0101,展開清潔的翅膀,主耶和華你已經鑒察了我,,D
10-M0101,茫茫宇宙,茫茫宇宙有愛心的禮物,,C
10-N0101,昂的愛,讓我生命有著昂的愛,BY TTK,
10-N0102,昂是王,神昂極偉大,,G
10-N0103,昂是君王,沒有佩戴冠冕,,G
10-N0104,昂是我的主,昂是我的主 昂是造我的主,,Bb
10-N0105,昂是我唯一,是甚麼問是甚麼,,G
10-N0106,昂是神,昂創造諸天 昂創造深海,,Dm
10-N0107,昂是彌賽亞,頌讚主頌讚主高聲歡唱,,G
10-N0108,昂真偉大,我靈歌唱 讚美救主我神,,A
10-N0109,昂讓我生命改變,昂恩典豐富極深厚,,E
10-N0110,昂是聖潔,耶穌昂是何等聖潔美麗,,F
10-N0111,昂的同在,主昂充滿在這地,,F
10-N0112,昂是配得,聖哉聖哉全地唱,,G
10-N0113,昂以恩典為年歲的冠冕,你以恩典為年歲的冠冕,,D
10-N0114,昂的話,我將昂的話語深藏在我心,,E
10-N0201,哦 聖靈啊,哦聖靈啊 求你來潔淨我,,F
10-N0301,能不能,我屬於昂昂是我永遠的福分,,G
10-P0101,配得,配得 你是配得 我的主,,F
10-S0101,神大恩無限 (神完全的愛),神大恩無限,,F
10-S0102,神坐著為王,神啊我要一心稱謝昂,,E
10-S0103,神是永活全能,用鼓樂歌頌 神是永活全能,,Dm
10-S0104,神是我所依,祂陪我走過,,G
10-S0105,神要開道路,神要開道路 在曠野無路之處,,G
10-S0106,神啊你在那兒,我的天為何總下著雨,,F
10-S0107,神啊頌讚歸昂,榮耀歸於真神,,Bb
10-S0108,神大愛,我唱出神大愛,,A
10-S0109,神的靈甦醒我,,,C
10-S0110,神的帳幕在人間,主呀你的國裂天降臨,,C
10-Y0101,原來日子多麼美,容許我開口說我想見昂,,D
10-Y0102,原諒我,如果越多的愛是叫人流越多的淚,,D
10-Y0201,容我寧靜,晨曦之中我尋求神話語,,A
10-Y0301,恩典太美麗,這天 同聚於主聖殿,,D
10-Y0302,恩典夠用,我的苦楚 我遭逼迫,BY TTK,
10-Y0303,恩典夠用,當我受特殊試煉,,
10-Y0304,恩典之路,你是我的主，引我走正義路,,F
10-Z0101,真的有一位神愛你,真的有一位神愛你,,E
10-Z0102,真的愛你,無法可修飾的一對手,母親節用,C
10-Z0103,真摯的愛,"主,都是因為昂的愛",,F
10-Z0201,祝福大家,祝福大家 一生快樂好福氣,,C
10-Z0202,祝福昂,,,C
11-C0101,唱一首天上的歌,生命的河 喜樂的河,,Am
11-C0102,唱哈利路亞,唱哈利路亞讚美主,,
11-C0201,從神而來的真愛,從神而來的那些真愛那些真愛,,D
11-C0301,將天敞開,將天敞開,,G
11-D0101,得勝大得勝屬於主,得勝大得勝屬於主,,Em
11-G0101,基督降生,聽啊天使讚高聲,聖誕用,
11-G0102,基督生世上為我犧牲洗罪,基督生世上為我犧牲洗罪,,Em
11-G0103,基督降世,,聖誕用,G
11-J0101,軟弱的我變剛強,軟弱的我變剛強,,C
11-M0101,問我主恩有幾多,問我主恩有幾多 究竟主恩有幾多,,D
11-N0101,偶然遇上的驚喜,曾經踏遍路途千萬里,,C
11-P0101,被救贖的百姓,願被救贖的百姓都說,,C
11-S0101,常存讚美,常存讚美 心中歡欣,,G
11-S0102,常常喜樂,常常喜樂 向主高歌 不論環境如何,,G
11-S0201,深觸我心,耶穌誠然擔當 我們的憂患,,G
11-T0101,陶造我生命,神願你來陶造我,,Dm
11-W0101,唯有耶穌,耶穌你能使瞎眼看見,,G
11-W0201,惟獨昂(Jesus is Love),今天，盡是滿身傷痕,,A
11-Z0101,這世代,看哪猶大獅子已得勝,,G
11-Z0102,這是完美,靠近昂 靠近昂,BY TTK,F
11-Z0103,這一生最美麗的祝福,在無數的黑夜裡,,D
11-Z0104,這是什麼道理,我如此污穢,,D
11-Z0105,這是聖潔之地,這是聖潔之地 神在這裡,,D
12-C0101,創造奇觀,事物道理千千,,C
12-C0201,尋求神的臉,若我的子民 謙卑禱告尋覓著我臉,,C
12-C0202,尋找,,,C
12-C0203,尋著您的那天,傳說人生只不過是個夢,,F
12-D0101,登山寶訓,虛心的人有福了,,
12-D0102,單單只為昂,主給我一個夢,,D
12-F0101,復興聖潔,求昂復興我 心中的聖潔,,C
12-G0101,揀選,昂十字架的大能,,F
12-H0101,喜見心所盼,心願能尋路向,,C
12-H0201,渴望你的靈,心中渴望你的靈,,D
12-H0202,渴望常有你,在我心中渴望常有你,,D
12-H0301,虛心的人有福了,虛心的人真是有福 天國是祂們的,,F
12-H0401,賀歲歌,我地來賀歲 互獻祝福句,,D
12-H0501,開口稱頌主,我要開口稱頌我的主,,
12-H0502,開開心心高歌,開開心心高歌,,F
12-H0503,開啟雙眼,開你雙眼 看那榮耀的君王,,C
12-M0101,無悔一生,讓我欣賞你 青春可愛面容,,A
12-N0101,雅比斯的禱告,,,C
12-N0102,雅歌,,,G
12-O0101,喔!主,"喔!主, 求你鑒察我",,D
12-P0101,普世歡騰,普世歡騰 救主下降,,D
12-S0101,順服,順服昂的揀選 非我選擇要去,,F
12-W0101,雲上太陽,無論是住在 美麗的高山,,D
12-Y0101,揚聲歡呼讚美,揚聲歡呼讚美稱頌我的王,,G
12-Z0101,最知心的朋友,主昂是我最知心的朋友,,D
12-Z0102,最美好  盡力愛您,最美好曾遇上是您溫柔的接納,,C
12-Z0103,最好的福氣,願我的心讚頌我的主,,G
12-Z0104,最美好的仗,過去困於幽暗裡,,D
12-Z0201,就在這天,讚美我主 讚美我主為我預備,,F
13-D0101,當你走到無力,當你走到無力繼續下去,,F
13-D0102,當聖靈在我的心,當聖靈在我的心 我要歌頌主,,Em
13-D0103,當轉眼仰望耶穌,請問你是否困倦煩惱,,
13-D0104,當昂臨近我,當昂臨近我 以昂恩手扶持我,,D
13-D0105,當信主耶穌,,,
13-G0101,感謝主基督,是救主的愛將我求贖,,G
13-G0102,感謝耶穌,感謝耶穌  因昂愛極深,,D
13-G0103,感謝天父,感謝天父,,C
13-G0201,敬拜上帝,來敬拜上帝 來讚美上帝,,G
13-G0301,跟昂走,,,Em
13-G0401,經由主寶血,經由主寶血來到父面前,,G
13-G0501,腳步,你的腳步帶著我的腳步,,C
13-M0101,萬軍之神,萬軍之神帶領向前行,,C
13-M0102,萬國禱告的殿,這稱我名下的殿 必成為萬國禱告的殿,,E
13-M0103,萬物的結局近了,萬物的結局近了,,
13-O0101,愛 我願意,十字架上光茫 溫柔又慈祥,,D
13-O0102,愛是不保留,常聽說世界愛沒長久,,F
13-O0103,愛的真諦,,,F
13-O0104,愛的迴響,基督降生為要拯救我,,Em
13-O0105,愛中相遇,每一天渴望與你在愛中相遇,,C
13-Q0101,傳頌,願我變做光 光照予四方,,C
13-Q0102,傳佳音到,傳佳音到誠心禱告同祝福你好,聖誕用,D
13-Q0201,慈繩愛索,來到昂的寶座前,,A
13-S0101,新生王歌,聽呀天使高聲唱,聖誕用,
13-S0102,新的異象，新的方向,有敬拜的聲音發出,,A
13-S0103,新的事將要成就,昂是做新事的神,,F
13-X0101,聖潔主,聖潔主 至聖潔主,,A
13-X0102,聖靈請你來,聖靈請你來充滿在這地,,C
13-X0103,聖靈充滿我,聖靈聖靈我感謝你,,D
13-X0201,誠心敬拜,全心歡欣膝敬拜頌讚你永活神,,D
13-Y0101,遇見,夜裡漆黑的一片 就算要看看不見,BY TTK,
13-Z0101,頌讚主,頌讚主因祂的愛超出那高天,,F
13-Z0102,頌讚全能上帝,清風輕吹天空掛著耀眼太陽,,D
13-Z0103,頌讚你HALLELUJAH,感激基督帶領恩典賜予我未停,,F
13-Z0104,頌讚歸於耶穌的聖名,頌讚歸於耶穌的聖名,,F
14-F0101,福音的大門,一條大河波浪寬,,
14-G0101,緊緊抓住昂,我無助的時候 昂給我力量,,F
14-J0101,與神同行,,,Bm
14-M0101,滿足的喜樂,"在你面前有滿足,有滿足的喜樂",,C
14-M0102,滿有能力,,,Bb
14-N0101,寧靜谷,在我心靈深處,,D
14-W0101,榮耀都歸你,哈利路亞 榮耀歸寶座羔羊,,C
14-W0102,榮耀榮耀神的羔羊,榮耀榮耀神的羔羊,,D
14-W0103,榮耀歸於真神,榮耀榮耀歸於真神,,G
14-W0104,榮耀歸與昂全能的神,哦天父我們何等愛昂,,Bb
14-W0105,榮耀耶穌,昂是創造天地大主宰,,F
14-Z0101,盡心盡性,全地齊來頌讚聲遍響宇宙,,Em
14-Z0102,盡心盡性讚美祂,我要盡心盡性來敬拜我主,,Em
14-Z0103,盡情的敬拜,耶穌聖潔公義救主,,A
14-Z0201,像當年大衛,像當年大衛在神面前,,Bb
15-C0101,齊賀主愛,就讓這天一起慶賀,,G
15-C0102,齊齊來讚美上主,齊齊來讚美上主,,F
15-C0103,齊來崇拜歌,"齊來崇主信徒,快樂又歡欣",,G
15-C0201,請差遣我,感慨﹗造物與尊貴,,G
15-J0101,熱切渴慕神,,,A
15-K0101,靠著耶穌得勝,在你愛裡我要宣告,,G
15-Q0101,賜我自由,賜自由的靈啊,,A
15-S0101,誰曾應許,誰曾應許一生不撒下我,,Eb
